rent,service,walk,bus,floor,age,autolock,catv,station,terminal,express,line
7.3,3,2,0,214,2,NO,0,tsurumi_shijo,21,0,keikyu
7,0,14,0,198,32,NO,0,gakugeidai,7,1,tokyu
0,0,0,0,0,0,NO,0,nakameguro,4,1,tokyu
14,0,1,10,137,17,NO,0,tsurumi,18,0,jr
7.9,0,4,12,76,31,NO,0,tsurumi,18,0,jr
3.3,0,9,0,17,25,NO,0,motosumiyoshi,20,0,tokyu
7.9,0,6,0,39,8,NO,0,hacho_nawate,20,0,keikyu
10.8,0,7,9,85,23,NO,0,tsurumi,18,0,jr
6.5,0,8,0,19,7,NO,0,kamata,9,0,jr
6.7,0,5,0,20,7,YES,0,kawasaki,9,1,jr
5.5,0,2,0,16,14,YES,0,tsurumi_shijo,21,0,keikyu
7,0,2,10,40,21,NO,0,tsurumi,18,0,jr
9.3,0,2,8,41,3,NO,0,tsurumi,18,0,jr
6.5,0,12,0,25,15,NO,0,keikyu_kamata,7,1,keikyu
8.3,0,12,0,24,0,YES,1,jiyugaoka,14,0,tokyu
7.8,0,11,0,21,2,NO,0,kawasaki,9,1,jr
5.2,2.5,3,0,17,0,NO,0,shin_kawasaki,12,0,jr
6,2,5,15,21,1,NO,0,kawasaki,9,1,jr
8.7,0,12,0,27,0,YES,1,jiyugaoka,14,0,tokyu
6.7,0,9,0,20,12,NO,0,keikyu_kamata,7,1,keikyu
8.5,0,10,0,26,2,YES,1,rokugo_dote,17,0,keikyu
6.2,0,7,0,17,14,YES,0,omori_machi,11,0,keikyu
7.9,0,7,0,23,5,NO,0,kawasaki,9,1,jr
4,1,3,0,24,30,NO,0,motosumiyoshi,20,0,tokyu
8.4,0,2,0,24,2,YES,0,omori_machi,11,0,keikyu
6.4,0,13,0,17,13,YES,0,heiwajima,7,1,keikyu
6,0,7,0,16,16,NO,0,oimachi,3,0,jr
7.9,0,9,0,19,3,YES,1,kamata,9,0,jr
5.7,2.5,3,0,18,0,NO,0,shin_kawasaki,12,0,jr
7.5,0,1,0,17,5,NO,0,yutenji,7,1,tokyu
6.8,2,18,0,24,0,NO,1,omori_machi,11,0,keikyu
9.2,0,19,0,48,16,NO,0,kawasaki,9,1,jr
5.8,0,8,0,16,19,NO,0,kawasaki,9,1,jr
14,0,4,0,95,14,YES,0,zoshiki,16,0,keikyu
6.6,2,2,7,21,0,NO,0,kawasaki,9,1,jr
6.6,2,2,7,21,0,NO,0,kawasaki,9,1,jr
7.3,0,1,0,20,10,YES,0,heiwajima,7,1,keikyu
7.5,0,7,0,27,14,NO,0,gakugeidai,7,1,tokyu
6.1,0,11,0,16,17,NO,0,keikyu_kamata,7,1,keikyu
4.2,1,3,0,29,35,NO,0,motosumiyoshi,20,0,tokyu
8.4,0,12,0,22,4,NO,0,nakameguro,4,1,tokyu
7.3,0,1,0,24,15,NO,0,keikyu_kamata,7,1,keikyu
8.3,0,2,10,33,14,NO,0,kawasaki,9,1,jr
8.9,0,13,0,25,3,NO,0,gakugeidai,7,1,tokyu
6.9,0,7,0,18,14,YES,0,kawasaki,9,1,jr
9.4,0,8,0,26.19,0,YES,1,shin_banba,3,0,keikyu
6,0,3,0,16,20,YES,0,omori_kaigan,8,0,keikyu
6.5,0,7,0,16,16,YES,0,shinmaruko,17,0,tokyu
6,0,4,0,12,17,NO,0,toritsudai,10,0,tokyu
5.2,1,3,10,14,17,NO,0,kawasaki,9,1,jr
6.3,0,6,0,15,17,NO,0,heiwajima,7,1,keikyu
6.95,0,5,0,28,22,NO,0,tsurumi,18,0,jr
7,0,9,0,17,13,NO,0,kamata,9,0,jr
7.7,0,2,10,28,16,YES,0,kawasaki,9,1,jr
12.5,0,5,6,74,13,NO,0,tsurumi,18,0,jr
5.8,0,4,0,13,20,NO,0,omori_kaigan,8,0,keikyu
6.5,0,11,0,16,17,YES,0,motosumiyoshi,20,0,tokyu
6.9,0,6,0,20,17,NO,0,aomono_yokocho,3,1,keikyu
8.5,0,12,0,20,4,NO,0,jiyugaoka,14,0,tokyu
6.5,0,8,0,18,19,NO,0,kawasaki,9,1,jr
7.3,0,4,0,25,18,NO,0,zoshiki,16,0,keikyu
7.6,0,11,0,33,22,NO,0,oimachi,3,0,jr
8,0,3,0,17,6,YES,0,toritsudai,10,0,tokyu
7.2,0,13,0,20,15,YES,0,tamagawa,13,1,tokyu
12.3,0,8,0,54,0,NO,0,keikyu_kamata,7,1,keikyu
14,0,5,0,94,18,YES,0,shin_kawasaki,12,0,jr
7,0,14,0,16,14,YES,0,toritsudai,10,0,tokyu
7.3,0,4,0,19,14,YES,0,tsurumi,18,0,jr
6.3,3,5,0,22,0,NO,0,tsurumi_shijo,21,0,keikyu
9.7,0,8,0,26.15,0,YES,1,shin_banba,3,0,keikyu
8,0,8,0,21,10,YES,0,gakugeidai,7,1,tokyu
6,0,6,0,14,21,NO,0,oimachi,3,0,jr
7.8,2,3,7,37,8,NO,0,kawasaki,9,1,jr
7.5,0,8,0,23,16,NO,0,nishi_oi,5,0,jr
6.1,3,2,10,22,2,NO,1,tsurumi,18,0,jr
8.5,0,7,0,32,15,YES,0,kawasaki,9,1,jr
8.5,0,7,0,32,15,YES,0,kawasaki,9,1,jr
7,1,10,0,19,9,NO,0,kawasaki,9,1,jr
6.9,0,3,0,15,15,NO,0,yutenji,7,1,tokyu
7.5,0,3,0,25,18,NO,0,heiwajima,7,1,keikyu
6.2,3,5,0,21,1,NO,1,kagetuen_mae,25,0,keikyu
6.2,3,2,15,26,5,NO,0,kawasaki,9,1,jr
6,1,10,0,16,16,YES,0,kawasaki,9,1,jr
7.5,0,7,0,16,12,NO,0,jiyugaoka,14,0,tokyu
7.4,0,2,0,25,20,NO,0,heiwajima,7,1,keikyu
9.3,0,12,0,27,6,YES,1,jiyugaoka,14,0,tokyu
7.4,0,7,0,16,13,YES,0,jiyugaoka,14,0,tokyu
5.3,2,15,0,21,18,NO,0,motosumiyoshi,20,0,tokyu
8.3,0,1,0,21.3,10,NO,0,aomono_yokocho,3,1,keikyu
6.3,2,5,0,23,12,NO,0,hacho_nawate,20,0,keikyu
7.8,0,7,0,19,13,YES,0,oimachi,3,0,jr
7.3,1,10,0,33,20,NO,0,gakugeidai,7,1,tokyu
10.1,0,8,0,26.19,0,YES,1,shin_banba,3,0,keikyu
9,0,10,0,33,15,NO,0,omori_machi,11,0,keikyu
13.5,0,4,13,62,1,NO,0,tsurumi,18,0,jr
6.5,0,15,0,32,35,NO,0,kamata,9,0,jr
6.8,2.5,18,0,22,4,NO,0,motosumiyoshi,20,0,tokyu
8.2,0,7,0,23,14,YES,0,kawasaki,9,1,jr
4,0,20,0,12,40,NO,0,daikanyama,3,0,tokyu
7.8,0,12,0,20,15,NO,0,jiyugaoka,14,0,tokyu
8,0,6,0,17,11,NO,0,gakugeidai,7,1,tokyu
5.8,1.5,20,0,21,20,NO,1,kamata,9,0,jr
9.75,0,11,0,21,0,YES,0,nakameguro,4,1,tokyu
8.5,0,2,15,52,35,NO,1,tsurumi,18,0,jr
8.3,1,11,0,20,3,NO,0,denenchofu,12,1,tokyu
8.1,3,1,10,45,8,YES,1,tsurumi,18,0,jr
9,0,10,0,37,19,NO,0,keikyu_kamata,7,1,keikyu
7.1,3,2,8,27,2,NO,0,kawasaki,9,1,jr
6.5,3,1,10,22,3,NO,0,kawasaki,9,1,jr
9.8,0,13,0,25,3,YES,1,nakameguro,4,1,tokyu
6.4,0,4,0,10.92,20,NO,0,kita_shinagawa,1,0,keikyu
6.7,0,9,0,14,20,NO,0,yutenji,7,1,tokyu
10.5,0,3,0,51,18,YES,0,omori_machi,11,0,keikyu
7.5,0,9,0,21,19,NO,0,toritsudai,10,0,tokyu
6.9,0,10,0,16,20,NO,0,tamagawa,13,1,tokyu
6.4,0,8,0,12,21,NO,0,gakugeidai,7,1,tokyu
6.5,0,8,0,13,21,NO,0,toritsudai,10,0,tokyu
4.8,0,7,0,10,33,NO,0,kamata,9,0,jr
5.8,3,2,0,10,0,NO,0,gakugeidai,7,1,tokyu
6.5,0,6,0,20,27,NO,0,gakugeidai,7,1,tokyu
9.4,0,6,0,35,15,NO,0,omori_machi,11,0,keikyu
13.5,0,15,0,65,5,NO,1,omori_machi,11,0,keikyu
7.8,2,12,0,29,7,NO,0,omori_machi,11,0,keikyu
6.8,0,18,0,33,35,NO,0,kamata,9,0,jr
6.8,2,10,0,21,9,NO,0,omori_machi,11,0,keikyu
6.9,3,1,25,40,15,NO,0,musashikosugi,13,1,tokyu
7.8,2,11,0,25,4,YES,0,tamagawa,13,1,tokyu
7,3,18,0,22,0,NO,1,musashikosugi,13,1,tokyu
7.1,3,20,0,38,12,NO,0,tsurumi,18,0,jr
6,0,5,0,18,30,NO,0,gakugeidai,7,1,tokyu
6.5,2,15,0,20,11,NO,0,jiyugaoka,14,0,tokyu
6.6,0,5,0,14,22,NO,0,gakugeidai,7,1,tokyu
8.8,2,1,10,50,16,NO,0,tsurumi,18,0,jr
7.9,1,5,0,20,8,NO,0,jiyugaoka,14,0,tokyu
7.2,0,18,0,30,30,NO,0,kamata,9,0,jr
10,0,7,0,44,18,NO,0,zoshiki,16,0,keikyu
10,0,5,0,40,15,NO,0,tachiai_gawa,5,0,keikyu
6.4,0,12,0,10,21,NO,0,jiyugaoka,14,0,tokyu
6.7,3,12,0,19,1,NO,1,omori,6,0,jr
7.7,0,4,0,17,16,NO,0,yutenji,7,1,tokyu
7.1,3,13,0,25,3,NO,0,tsurumi,18,0,jr
8.5,0,13,0,31,21,NO,0,kawasaki,9,1,jr
7.1,3,7,0,21,0,NO,1,heiwajima,7,1,keikyu
7.4,3,8,0,24,0,NO,1,omori_machi,11,0,keikyu
7.2,2,4,15,34,18,NO,0,kawasaki,9,1,jr
6.4,3.5,2,8,21,2,NO,0,kawasaki,9,1,jr
7.6,2,5,0,20,4,NO,0,oimachi,3,0,jr
9.5,0,12,0,34,16,NO,0,toritsudai,10,0,tokyu
9.8,0,3,0,22,4,YES,1,jiyugaoka,14,0,tokyu
14.8,0,7,0,79,8,YES,0,kagetuen_mae,25,0,keikyu
7.4,3,3,0,23,0,YES,1,omori_machi,11,0,keikyu
5.9,1,4,0,18,25,NO,0,kamata,9,0,jr
6.4,2,12,0,18,13,NO,0,motosumiyoshi,20,0,tokyu
10.3,3,2,8,55,2,NO,0,kawasaki,9,1,jr
6.1,2,6,0,16,14,NO,0,umeyashiki,13,0,keikyu
7,2,9,0,19,9,NO,0,jiyugaoka,14,0,tokyu
8.5,0,8,0,20,14,NO,1,jiyugaoka,14,0,tokyu
12,0,3,7,69,24,NO,0,kawasaki,9,1,jr
6.8,1.5,20,0,24,19,NO,0,kamata,9,0,jr
9.8,0,11,0,37,17,NO,0,oimachi,3,0,jr
6.8,2,15,0,29,19,NO,0,omori,6,0,jr
8.6,0,15,0,33,24,YES,0,jiyugaoka,14,0,tokyu
8.7,0,15,0,39,28,NO,0,kamata,9,0,jr
7.6,2,9,0,23,8,NO,0,shinmaruko,17,0,tokyu
8.2,0,8,0,26,22,NO,0,gakugeidai,7,1,tokyu
5.4,3,2,12,18,14,NO,0,tsurumi,18,0,jr
6.6,2,8,0,20,14,NO,0,nishi_oi,5,0,jr
6.5,3,11,0,18,5,NO,0,zoshiki,16,0,keikyu
7.7,1,8,0,26,18,NO,0,denenchofu,12,1,tokyu
7.1,2,6,0,16,7,YES,1,kamata,9,0,jr
5.3,2,8,0,12,19,NO,0,kawasaki,9,1,jr
11.8,0,10,0,50,12,NO,0,oimachi,3,0,jr
12.2,0,12,0,39,0,YES,1,jiyugaoka,14,0,tokyu
8.2,3,4,12,50,17,NO,0,tsurumi,18,0,jr
7.8,3,13,0,42,14,NO,0,tsurumi,18,0,jr
5.5,3,3,0,18,14,YES,0,rokugo_dote,17,0,keikyu
9,2,0,0,30,3,YES,1,musashikosugi,13,1,tokyu
7.8,3,7,0,24,0,NO,1,heiwajima,7,1,keikyu
9.5,4,13,0,57,4,NO,1,musashikosugi,13,1,tokyu
8,2,15,0,19,3,NO,1,yutenji,7,1,tokyu
7.7,1,5,0,28,21,NO,0,jiyugaoka,14,0,tokyu
12.9,0,4,0,49,3,YES,1,heiwajima,7,1,keikyu
9.5,0,8,0,40,24,NO,0,kamata,9,0,jr
6.6,2,13,0,18,14,NO,0,omori,6,0,jr
6.7,2,3,0,19,14,NO,0,omori_machi,11,0,keikyu
8.2,2,11,0,22,4,NO,1,nakameguro,4,1,tokyu
10.3,0,3,0,38,16,NO,0,omori,6,0,jr
10.6,0,3,0,31,8,YES,0,tamagawa,13,1,tokyu
13,0,10,0,48,2,YES,0,shin_kawasaki,12,0,jr
6,3,10,0,20,13,NO,0,rokugo_dote,17,0,keikyu
8,3,7,0,24,0,NO,1,heiwajima,7,1,keikyu
9.7,0,13,0,28,14,NO,0,jiyugaoka,14,0,tokyu
7,1.1524,6,0,27,26,NO,0,omori,6,0,jr
7.7,3,3,0,22,1,YES,1,rokugo_dote,17,0,keikyu
9.1,3,5,10,44,7,YES,0,kawasaki,9,1,jr
7.3,2,8,0,21,12,NO,0,kamata,9,0,jr
8.7,2.5,9,0,47,17,NO,0,tsurumi_shijo,21,0,keikyu
7.5,2,8,0,23,12,NO,0,gakugeidai,7,1,tokyu
8,2,3,0,18,4,YES,0,yutenji,7,1,tokyu
7,2,6,0,20,14,NO,0,toritsudai,10,0,tokyu
10,0,10,0,53,32,NO,0,omori,6,0,jr
7.3,2,8,0,19,11,NO,0,jiyugaoka,14,0,tokyu
10.5,0,2,0,20,2,YES,1,jiyugaoka,14,0,tokyu
7.3,2,8,0,20,12,NO,0,denenchofu,12,1,tokyu
6,3,2,10,18,13,NO,0,jiyugaoka,14,0,tokyu
5.9,3,18,0,18,14,NO,0,kawasaki,9,1,jr
7,2,9,0,19,14,NO,0,tamagawa,13,1,tokyu
6.6,3,5,0,20,10,NO,0,kawasaki,9,1,jr
8.9,0,6,0,19,15,YES,0,jiyugaoka,14,0,tokyu
7.8,0,2,0,15,21,YES,0,yutenji,7,1,tokyu
7.9,3,10,0,27,5,NO,1,keikyu_kamata,7,1,keikyu
8,2,8,0,20,7,NO,0,omori,6,0,jr
7.5,1,5,0,27,25,NO,0,gakugeidai,7,1,tokyu
9,0,9,0,41,32,NO,0,kawasaki,9,1,jr
11.2,0,3,0,31,6,YES,0,tamagawa,13,1,tokyu
6,3,2,0,18,14,NO,0,kamata,9,0,jr
6.4,3,3,0,22,14,YES,0,rokugo_dote,17,0,keikyu
4,2,7,0,13,35,NO,0,omori,6,0,jr
9.5,0,11,0,33,22,NO,0,toritsudai,10,0,tokyu
7.6,3,19,0,19,2,NO,0,jiyugaoka,14,0,tokyu
8.9,3,13,0,30,0,YES,1,oimachi,3,0,jr
7.2,3,15,0,21,7,NO,0,motosumiyoshi,20,0,tokyu
8,3,12,0,23,2,NO,0,omori,6,0,jr
6.5,2,6,0,17,18,NO,0,jiyugaoka,14,0,tokyu
6.3,3,3,0,19,13,NO,0,nishi_oi,5,0,jr
8.5,3,5,0,28,2,YES,0,keikyu_kamata,7,1,keikyu
15,0,8,0,78,13,YES,0,tsurumi,18,0,jr
8.6,0,10,0,24,23,NO,0,oimachi,3,0,jr
9.5,0,7,0,27,18,NO,0,jiyugaoka,14,0,tokyu
8.3,2.5,8,0,24,5,NO,0,denenchofu,12,1,tokyu
9.3,0,4,0,26,19,NO,0,jiyugaoka,14,0,tokyu
14.8,0,1,10,63,3,NO,1,tsurumi,18,0,jr
7.3,3,3,0,21,7,NO,0,heiwajima,7,1,keikyu
8.6,3,8,0,25.58,0,YES,1,tachiai_gawa,5,0,keikyu
13.5,0,20,0,68,18,NO,0,tsurumi,18,0,jr
8.8,2,15,0,36,15,NO,0,tamagawa,13,1,tokyu
6.9,3,14,0,19,9,NO,0,gakugeidai,7,1,tokyu
9.3,2,8,0,31,7,YES,0,shinmaruko,17,0,tokyu
8.5,0,8,0,22,23,YES,0,oimachi,3,0,jr
8.6,3,3,0,25,0,YES,0,omori,6,0,jr
7,3,5,0,22,11,NO,0,nishi_oi,5,0,jr
11.1,0,7,0,41,17,NO,1,shin_banba,3,0,keikyu
5.7,3,6,0,16,17,YES,0,denenchofu,12,1,tokyu
6.8,3,7,0,22,13,NO,1,kamata,9,0,jr
8.9,2,12,0,22,4,NO,0,nakameguro,4,1,tokyu
8.9,3,1,20,45,14,NO,0,tsurumi,18,0,jr
6.5,1,12,0,23,33,NO,0,jiyugaoka,14,0,tokyu
9.8,0,8,0,33,22,NO,0,jiyugaoka,14,0,tokyu
8.7,3,6,0,25,0,YES,1,kamata,9,0,jr
7.3,2,10,0,16,13,NO,0,yutenji,7,1,tokyu
7.7,3,10,0,19,4,NO,1,gakugeidai,7,1,tokyu
7.8,2,11,0,26,17,NO,0,oimachi,3,0,jr
12,0,5,0,36,7,YES,0,kawasaki,9,1,jr
8.8,3,13,0,25,0,YES,1,oimachi,3,0,jr
6.2,2,13,0,19,25,NO,0,oimachi,3,0,jr
7.6,3.5,9,0,20,2,NO,1,kamata,9,0,jr
14,0,2,10,93,36,NO,0,tsurumi,18,0,jr
8.9,3,4,0,27,1,YES,1,omori,6,0,jr
6.1,3,10,0,18,17,NO,1,tsurumi,18,0,jr
7.3,2,5,0,20,17,NO,0,toritsudai,10,0,tokyu
7.9,3,12,0,19,3,NO,0,jiyugaoka,14,0,tokyu
8.8,0,4,0,21,22,YES,0,oimachi,3,0,jr
7.3,2,15,0,16,14,NO,0,nakameguro,4,1,tokyu
8.2,2,2,0,21,11,NO,0,gakugeidai,7,1,tokyu
9.8,0,4,0,38,28,NO,0,toritsudai,10,0,tokyu
6,3,16,0,17,18,NO,0,kawasaki,9,1,jr
7.5,4,9,0,20,0,NO,0,motosumiyoshi,20,0,tokyu
8.8,3,1,20,42,15,YES,0,tsurumi,18,0,jr
7.6,4,9,0,21,0,NO,0,motosumiyoshi,20,0,tokyu
8.9,3,1,0,24,0,NO,0,tamagawa,13,1,tokyu
12,0,6,0,40,12,NO,0,kamata,9,0,jr
7.2,3,4,0,28.8,18,NO,0,aomono_yokocho,3,1,keikyu
6.9,3.5,10,0,18,8,YES,0,tamagawa,13,1,tokyu
6.7,3,3,0,17,13,NO,0,shinmaruko,17,0,tokyu
8.7,0,10,0,28,30,NO,0,jiyugaoka,14,0,tokyu
6.7,3,7,0,22,17,NO,0,musashikosugi,13,1,tokyu
8,2.45,10,0,36,22,NO,0,oimachi,3,0,jr
7.6,4,9,0,20,0,NO,0,motosumiyoshi,20,0,tokyu
7.6,4,9,0,20,0,NO,0,motosumiyoshi,20,0,tokyu
8.9,2,3,0,34,17,YES,0,kamata,9,0,jr
6.5,2,12,0,19,25,NO,0,jiyugaoka,14,0,tokyu
5.8,2,10,0,18,30,NO,0,oimachi,3,0,jr
6.9,2.5,14,0,17,16,NO,0,jiyugaoka,14,0,tokyu
6.2,3,6,0,16,17,YES,0,denenchofu,12,1,tokyu
7.4,2,9,0,18,17,NO,1,gakugeidai,7,1,tokyu
13.3,0,10,0,42,4,YES,0,kamata,9,0,jr
9.8,0,8,0,28,22,NO,0,gakugeidai,7,1,tokyu
7.3,2,7,0,19,19,NO,0,gakugeidai,7,1,tokyu
7.9,4,9,0,22,0,NO,0,motosumiyoshi,20,0,tokyu
9.2,3,3,0,25,0,YES,0,omori,6,0,jr
7,1,15,0,24,34,NO,0,jiyugaoka,14,0,tokyu
9.1,3,2,0,25,1,NO,1,toritsudai,10,0,tokyu
7.2,3,1,0,19,12,NO,1,musashikosugi,13,1,tokyu
6.2,3,1,15,35,33,NO,0,tsurumi,18,0,jr
8,3,13,0,22,8,NO,0,jiyugaoka,14,0,tokyu
