ID,name,year,win_rate,n_games,era,strike_out,error,batting,homerun,ribby,stolen_base
12,オリックス・ブルーウェーブ,1994,52.3076923,130,3.93,903,563,28.5,92,568,61
12,オリックス・ブルーウェーブ,1995,63.0769231,130,2.88,938,428,25.93,115,539,82
12,オリックス・ブルーウェーブ,1996,56.9230769,130,3.55,847,529,27.1,124,580,63
12,オリックス・ブルーウェーブ,1997,52.5925926,135,3.61,788,544,26.3,111,548,70
12,オリックス・ブルーウェーブ,1998,48.8888889,135,4.03,824,609,26.39,140,561,42
12,オリックス・ブルーウェーブ,1999,50.3703704,135,3.637,782,577,26.3,112,597,69
12,オリックス・ブルーウェーブ,2000,47.4074074,135,4.64,806,672,26,116,610,72
12,オリックス・ブルーウェーブ,2001,50,140,4.11,980,634,26.3,143,619,60
12,オリックス・ブルーウェーブ,2002,35.7142857,140,3.58,929,547,23.5,102,416,86
12,オリックス・ブルーウェーブ,2003,34.2857143,140,5.95,892,927,27.6,174,622,74
12,オリックス・ブルーウェーブ,2004,36.8421053,133,5.66,805,807,28.3,112,587,90
4,ヤクルトスワローズ,1994,47.6923077,130,4.05,797,585,25,130,458,78
4,ヤクルトスワローズ,1995,63.0769231,130,3.6,889,495,26.06,147,577,102
4,ヤクルトスワローズ,1996,46.9230769,130,4,836,560,26.4,103,520,67
4,ヤクルトスワローズ,1997,60.5839416,137,3.26,870,503,27.6,138,639,123
4,ヤクルトスワローズ,1998,48.8888889,135,3.69,942,548,25.3,97,475,56
4,ヤクルトスワローズ,1999,48.8888889,135,4.23,909,610,26.4,141,563,80
4,ヤクルトスワローズ,2000,48.5294118,136,3.62,978,515,26.4,137,551,71
4,ヤクルトスワローズ,2001,54.2857143,140,3.41,896,531,27.4,148,605,63
4,ヤクルトスワローズ,2002,52.8571429,140,3.39,1035,528,26.3,142,534,36
4,ヤクルトスワローズ,2003,50.7142857,140,4.12,918,627,28.3,159,649,54
4,ヤクルトスワローズ,2004,52.173913,138,4.7,973,691,27.54,181,599,42
6,横浜ベイスターズ,1994,46.9230769,130,3.76,855,535,26.1,107,526,36
6,横浜ベイスターズ,1995,50.7692308,130,4.37,840,588,26.09,114,532,60
6,横浜ベイスターズ,1996,42.3076923,130,4.67,929,660,27,85,544,85
6,横浜ベイスターズ,1997,53.3333333,135,3.703,1015,548,27.3,105,546,87
6,横浜ベイスターズ,1998,58.0882353,136,3.49,861,524,27.7,100,607,63
6,横浜ベイスターズ,1999,52.5925926,135,4.44,868,639,29.4,140,688,74
6,横浜ベイスターズ,2000,50.7352941,136,3.92,897,559,27.7,103,557,65
6,横浜ベイスターズ,2001,49.2857143,140,3.747,814,565,26.7,94,538,80
6,横浜ベイスターズ,2002,35,140,4.09,973,620,24,97,444,65
6,横浜ベイスターズ,2003,32.1428571,140,4.8,909,725,25.8,192,541,68
6,横浜ベイスターズ,2004,42.7536232,138,4.47,951,666,27.9,194,619,46
9,近鉄バファローズ,1994,52.3076923,130,4.24,823,619,27.4,169,681,75
9,近鉄バファローズ,1995,37.6923077,130,3.97,825,577,23.4,105,428,65
9,近鉄バファローズ,1996,47.6923077,130,4.01,811,571,25.5,146,533,76
9,近鉄バファローズ,1997,50.3703704,135,3.79,871,574,27.4,112,580,112
9,近鉄バファローズ,1998,48.8888889,135,4.28,760,629,26.7,126,564,80
9,近鉄バファローズ,1999,40,135,4.54,762,662,25.72,151,573,73
9,近鉄バファローズ,2000,42.962963,135,4.66,808,687,26.2,125,583,68
9,近鉄バファローズ,2001,55.7142857,140,4.98,860,745,28,211,748,35
9,近鉄バファローズ,2002,52.1428571,140,3.93,1004,592,25.8,177,579,32
9,近鉄バファローズ,2003,52.8571429,140,4.3,965,632,27.4,187,695,83
9,近鉄バファローズ,2004,45.8646617,133,4.46,832,636,26.9,121,601,59
5,広島東洋カープ,1994,50.7692308,130,4.18,795,584,27.6,126,561,98
5,広島東洋カープ,1995,56.4885496,131,3.57,857,510,26.3,166,603,145
5,広島東洋カープ,1996,54.6153846,130,4.08,784,597,28.1,162,642,115
5,広島東洋カープ,1997,48.8888889,135,4.44,837,653,25.9,164,608,117
5,広島東洋カープ,1998,44.4444444,135,4.01,860,613,26.5,131,547,86
5,広島東洋カープ,1999,42.2222222,135,4.78,869,712,26,152,561,76
5,広島東洋カープ,2000,47.7941176,136,4.48,844,675,25.6,150,562,114
5,広島東洋カープ,2001,48.5714286,140,3.82,968,596,26.9,155,594,99
5,広島東洋カープ,2002,45.7142857,140,4.36,1056,674,25.9,154,516,59
5,広島東洋カープ,2003,47.8571429,140,4.23,908,653,25.9,153,539,80
5,広島東洋カープ,2004,43.4782609,138,4.75,1086,716,27.6,187,635,50
1,阪神タイガース,1994,47.6923077,130,3.43,817,500,25.6,92,478,36
1,阪神タイガース,1995,35.3846154,130,3.83,839,536,24.4,88,430,43
1,阪神タイガース,1996,41.5384615,130,4.12,841,579,24.5,89,454,45
1,阪神タイガース,1997,45.5882353,136,3.698,787,575,24.4,103,475,38
1,阪神タイガース,1998,38.5185185,135,3.95,749,589,24.2,86,422,28
1,阪神タイガース,1999,40.7407407,135,4.04,806,585,25.9,97,459,63
1,阪神タイガース,2000,41.9117647,136,3.9,883,591,24.4,114,447,53
1,阪神タイガース,2001,40.7142857,140,3.749,866,598,24.3,90,446,78
1,阪神タイガース,2002,47.1428571,140,3.41,964,524,25.3,122,492,73
1,阪神タイガース,2003,62.1428571,140,3.53,1108,538,28.7,141,695,115
1,阪神タイガース,2004,47.826087,138,4.08,1112,610,27.3,142,607,96
8,西武ライオンズ,1994,58.4615385,130,3.81,881,535,27.9,122,621,140
8,西武ライオンズ,1995,51.5384615,130,2.98,892,427,24.6,117,471,113
8,西武ライオンズ,1996,47.6923077,130,3.58,928,521,25.8,141,494,149
8,西武ライオンズ,1997,56.2962963,135,3.63,892,554,28.1,110,610,200
8,西武ライオンズ,1998,51.8518519,135,3.66,903,559,27,115,543,145
8,西武ライオンズ,1999,55.5555556,135,3.58,976,513,25.8,89,510,136
8,西武ライオンズ,2000,51.1111111,135,3.68,909,572,25.5,97,584,85
8,西武ライオンズ,2001,52.1428571,140,3.88,1011,584,25.59,184,594,111
8,西武ライオンズ,2002,64.2857143,140,3.2,1074,492,27.8,183,644,107
8,西武ライオンズ,2003,55,140,4.43,1026,660,27.14,191,656,84
8,西武ライオンズ,2004,55.6390977,133,4.29,965,656,27.6,183,691,97
10,千葉ロッテマリーンズ,1994,42.3076923,130,4.5,919,633,26.1,104,503,54
10,千葉ロッテマリーンズ,1995,53.0769231,130,3.27,1004,461,25.4,88,458,84
10,千葉ロッテマリーンズ,1996,46.1538462,130,3.68,863,525,25.2,85,437,71
10,千葉ロッテマリーンズ,1997,42.2222222,135,3.84,817,584,24.9,75,429,117
10,千葉ロッテマリーンズ,1998,45.1851852,135,3.7,750,563,27.1,102,556,80
10,千葉ロッテマリーンズ,1999,46.6666667,135,3.644,851,538,25.67,97,515,64
10,千葉ロッテマリーンズ,2000,45.9259259,135,4.73,797,708,25.9,109,587,88
10,千葉ロッテマリーンズ,2001,45.7142857,140,3.93,816,608,25.8,133,569,55
10,千葉ロッテマリーンズ,2002,47.8571429,140,3.72,930,565,24.66,101,478,57
10,千葉ロッテマリーンズ,2003,48.5714286,140,4.37,849,665,27.13,145,628,68
10,千葉ロッテマリーンズ,2004,48.8721805,133,4.4,878,642,26.4,143,626,49
2,中日ドラゴンズ,1994,53.0769231,130,3.45,841,481,25.81,108,513,65
2,中日ドラゴンズ,1995,38.4615385,130,4.75,840,651,25.1,136,475,50
2,中日ドラゴンズ,1996,55.3846154,130,4.01,934,589,27.8,179,616,36
2,中日ドラゴンズ,1997,43.3823529,136,4.33,925,644,24.3,115,495,55
2,中日ドラゴンズ,1998,55.1470588,136,3.14,904,458,24.8,100,469,91
2,中日ドラゴンズ,1999,60,135,3.39,845,488,26.3,120,578,78
2,中日ドラゴンズ,2000,51.8518519,135,4.19,932,617,26.6,111,521,57
2,中日ドラゴンズ,2001,44.2857143,140,3.48,1012,513,25.3,98,464,53
2,中日ドラゴンズ,2002,49.2857143,140,3.19,1002,502,25.7,125,519,54
2,中日ドラゴンズ,2003,52.1428571,140,3.8,1035,578,26.8,137,586,57
2,中日ドラゴンズ,2004,57.2463768,138,3.86,1019,558,27.4,111,589,95
3,読売ジャイアンツ,1994,53.8461538,130,3.41,885,483,25.83,122,497,29
3,読売ジャイアンツ,1995,54.9618321,131,3.4,941,494,25.2,139,509,64
3,読売ジャイアンツ,1996,59.2307692,130,3.47,866,478,25.3,147,538,69
3,読売ジャイアンツ,1997,46.6666667,135,3.69,899,536,25.1,150,532,37
3,読売ジャイアンツ,1998,54.0740741,135,3.74,902,551,26.7,148,605,54
3,読売ジャイアンツ,1999,55.5555556,135,3.84,899,553,26.5,182,595,51
3,読売ジャイアンツ,2000,57.7777778,135,3.34,1039,497,26.3,203,659,50
3,読売ジャイアンツ,2001,53.5714286,140,4.45,981,659,27.1,196,663,64
3,読売ジャイアンツ,2002,61.4285714,140,3.04,1087,485,27.2,186,660,69
3,読売ジャイアンツ,2003,50.7142857,140,4.43,1123,681,26.2,205,624,71
3,読売ジャイアンツ,2004,51.4492754,138,4.5,1105,677,27.49,259,719,25
7,福岡ダイエーホークス,1994,53.0769231,130,4.1,756,592,27.5,132,576,67
7,福岡ダイエーホークス,1995,41.5384615,130,4.16,780,580,25.86,94,469,105
7,福岡ダイエーホークス,1996,41.5384615,130,4.04,823,565,26.3,97,516,140
7,福岡ダイエーホークス,1997,46.6666667,135,4.26,861,610,26.4,132,564,94
7,福岡ダイエーホークス,1998,49.6296296,135,4.02,719,596,26.37,100,507,89
7,福岡ダイエーホークス,1999,57.7777778,135,3.65,878,553,25.73,140,542,80
7,福岡ダイエーホークス,2000,54.0740741,135,4.03,792,584,26.8,129,610,57
7,福岡ダイエーホークス,2001,54.2857143,140,4.49,760,684,27.3,203,719,98
7,福岡ダイエーホークス,2002,52.1428571,140,3.856107,902,578,26.7,160,606,72
7,福岡ダイエーホークス,2003,58.5714286,140,3.94,1126,588,29.7,154,794,147
7,福岡ダイエーホークス,2004,57.8947368,133,4.58,923,651,29.2,183,706,84
11,北海道日本ハムファイターズ,1994,35.3846154,130,4.62,755,637,25.2,101,459,80
11,北海道日本ハムファイターズ,1995,45.3846154,130,3.56,831,503,23.7,105,456,68
11,北海道日本ハムファイターズ,1996,52.3076923,130,3.49,770,502,24.9,130,502,69
11,北海道日本ハムファイターズ,1997,46.6666667,135,4.18,682,600,26.5,128,539,63
11,北海道日本ハムファイターズ,1998,49.6296296,135,3.83,703,571,25.5,150,599,91
11,北海道日本ハムファイターズ,1999,44.4444444,135,4.34,761,625,26,148,587,67
11,北海道日本ハムファイターズ,2000,51.1111111,135,4.7,793,664,27.8,177,735,107
11,北海道日本ハムファイターズ,2001,37.8571429,140,4.79,923,713,25.57,147,570,95
11,北海道日本ハムファイターズ,2002,43.5714286,140,3.856105,921,570,24.69,146,486,72
11,北海道日本ハムファイターズ,2003,44.2857143,140,4.88,734,738,26.9,149,645,90
11,北海道日本ハムファイターズ,2004,49.6240602,133,4.72,843,697,28.1,178,702,45
