pref_id,pref,year,emprate,caprate,dist_f_tokyo
1,北海道,2000,0.2862,0.2126,831
2,青森県,2000,0.4632,0.4071,577
3,岩手県,2000,0.4862,0.2966,464
4,宮城県,2000,0.3744,0.1612,305
5,秋田県,2000,0.5196,0.345,449
6,山形県,2000,0.6099,0.2706,289
7,福島県,2000,0.4687,0.1853,239
8,茨城県,2000,0.3431,0.2017,99
9,栃木県,2000,0.3789,0.2202,99
10,群馬県,2000,0.3571,0.2985,96
11,埼玉県,2000,0.2573,0.1549,19
12,千葉県,2000,0.2641,0.1951,40
13,東京都,2000,0.2937,0.2676,0
14,神奈川県,2000,0.2287,0.1378,27
15,新潟県,2000,0.5117,0.4458,253
16,富山県,2000,0.5209,0.4635,249
17,石川県,2000,0.5126,0.534,294
18,福井県,2000,0.5407,0.4782,316
19,山梨県,2000,0.3869,0.3817,102
20,長野県,2000,0.3803,0.4481,173
21,岐阜県,2000,0.3548,0.3468,271
22,静岡県,2000,0.3465,0.2044,143
23,愛知県,2000,0.3032,0.3123,259
24,三重県,2000,0.3606,0.354,309
25,滋賀県,2000,0.3246,0.2573,356
26,京都府,2000,0.3182,0.3323,365
27,大阪府,2000,0.2349,0.2166,396
28,兵庫県,2000,0.2567,0.2166,425
29,奈良県,2000,0.2377,0.2713,369
30,和歌山県,2000,0.3,0.3864,444
31,鳥取県,2000,0.5341,0.489,495
32,島根県,2000,0.5337,0.4031,602
33,岡山県,2000,0.3754,0.3035,537
34,広島県,2000,0.3458,0.3132,675
35,山口県,2000,0.3564,0.3129,769
36,徳島県,2000,0.4309,0.3633,503
37,香川県,2000,0.4032,0.3408,537
38,愛媛県,2000,0.343,0.3351,666
39,高知県,2000,0.5247,0.5913,612
40,福岡県,2000,0.3424,0.3014,881
41,佐賀県,2000,0.4692,0.3375,904
42,長崎県,2000,0.4256,0.3311,961
43,熊本県,2000,0.4696,0.41,885
44,大分県,2000,0.3845,0.2801,790
45,宮崎県,2000,0.4719,0.3886,872
46,鹿児島県,2000,0.3824,0.2928,963
47,沖縄県,2000,0.4244,0.2287,1554
1,北海道,2005,0.3283,0.2369,831
2,青森県,2005,0.5091,0.4681,577
3,岩手県,2005,0.5193,0.3541,464
4,宮城県,2005,0.3984,0.2068,305
5,秋田県,2005,0.5509,0.4096,449
6,山形県,2005,0.6151,0.3133,289
7,福島県,2005,0.4875,0.2198,239
8,茨城県,2005,0.3762,0.2409,99
9,栃木県,2005,0.4122,0.2459,99
10,群馬県,2005,0.4134,0.3453,96
11,埼玉県,2005,0.3007,0.1837,19
12,千葉県,2005,0.2995,0.2125,40
13,東京都,2005,0.3206,0.2791,0
14,神奈川県,2005,0.271,0.1654,27
15,新潟県,2005,0.5469,0.502,253
16,富山県,2005,0.5625,0.53,249
17,石川県,2005,0.5462,0.6052,294
18,福井県,2005,0.571,0.5457,316
19,山梨県,2005,0.4278,0.446,102
20,長野県,2005,0.4144,0.4924,173
21,岐阜県,2005,0.3956,0.391,271
22,静岡県,2005,0.3887,0.2305,143
23,愛知県,2005,0.3472,0.3401,259
24,三重県,2005,0.4027,0.3847,309
25,滋賀県,2005,0.363,0.2881,356
26,京都府,2005,0.3633,0.3579,365
27,大阪府,2005,0.2876,0.2551,396
28,兵庫県,2005,0.3035,0.2444,425
29,奈良県,2005,0.289,0.3088,369
30,和歌山県,2005,0.3548,0.446,444
31,鳥取県,2005,0.5583,0.5321,495
32,島根県,2005,0.5798,0.4711,602
33,岡山県,2005,0.4216,0.3563,537
34,広島県,2005,0.3949,0.3615,675
35,山口県,2005,0.3971,0.3433,769
36,徳島県,2005,0.4705,0.4081,503
37,香川県,2005,0.4405,0.3719,537
38,愛媛県,2005,0.3813,0.3508,666
39,高知県,2005,0.5474,0.6015,612
40,福岡県,2005,0.3813,0.3379,881
41,佐賀県,2005,0.502,0.3918,904
42,長崎県,2005,0.4712,0.3903,961
43,熊本県,2005,0.5076,0.443,885
44,大分県,2005,0.4239,0.3285,790
45,宮崎県,2005,0.5079,0.4415,872
46,鹿児島県,2005,0.4189,0.3214,963
47,沖縄県,2005,0.4588,0.2725,1554
1,北海道,2010,0.3779,0.2724,831
2,青森県,2010,0.5595,0.5393,577
3,岩手県,2010,0.5563,0.4307,464
4,宮城県,2010,0.4249,0.2404,305
5,秋田県,2010,0.6022,0.4999,449
6,山形県,2010,0.6342,0.3773,289
7,福島県,2010,0.4976,0.2707,239
8,茨城県,2010,0.4199,0.2911,99
9,栃木県,2010,0.444,0.2935,99
10,群馬県,2010,0.4671,0.4052,96
11,埼玉県,2010,0.355,0.2185,19
12,千葉県,2010,0.3393,0.2417,40
13,東京都,2010,0.3683,0.2921,0
14,神奈川県,2010,0.3137,0.2027,27
15,新潟県,2010,0.5817,0.5593,253
16,富山県,2010,0.6069,0.5943,249
17,石川県,2010,0.5975,0.6424,294
18,福井県,2010,0.6116,0.6035,316
19,山梨県,2010,0.4702,0.5126,102
20,長野県,2010,0.455,0.55,173
21,岐阜県,2010,0.43,0.4334,271
22,静岡県,2010,0.4208,0.2627,143
23,愛知県,2010,0.3822,0.3623,259
24,三重県,2010,0.4435,0.4255,309
25,滋賀県,2010,0.3971,0.3215,356
26,京都府,2010,0.4144,0.3949,365
27,大阪府,2010,0.3364,0.3043,396
28,兵庫県,2010,0.3465,0.2783,425
29,奈良県,2010,0.3342,0.349,369
30,和歌山県,2010,0.4,0.5163,444
31,鳥取県,2010,0.6104,0.5812,495
32,島根県,2010,0.64,0.5873,602
33,岡山県,2010,0.4554,0.3978,537
34,広島県,2010,0.4232,0.3933,675
35,山口県,2010,0.4307,0.3763,769
36,徳島県,2010,0.5068,0.4513,503
37,香川県,2010,0.4878,0.4168,537
38,愛媛県,2010,0.4258,0.3832,666
39,高知県,2010,0.5693,0.6546,612
40,福岡県,2010,0.416,0.3541,881
41,佐賀県,2010,0.5442,0.4392,904
42,長崎県,2010,0.5154,0.4407,961
43,熊本県,2010,0.5329,0.4757,885
44,大分県,2010,0.4672,0.348,790
45,宮崎県,2010,0.5511,0.4624,872
46,鹿児島県,2010,0.4738,0.3547,963
47,沖縄県,2010,0.5068,0.3183,1554
